x,y,z
80.8555666666667,-118.77433333333299,122.068333333333
79.6794666666667,-91.9612666666667,119.044666666667
79.0626666666667,-79.7223,108.95700000000001
79.5980333333333,-93.5276666666667,102.396666666667
79.86353333333331,-101.573333333333,114.840666666667
67.2610333333333,-91.1165,111.555333333333
91.0951666666667,-90.0277333333333,111.9
69.1613666666667,-89.1878333333333,102.06333333333299
89.1977,-86.6847333333333,101.480333333333
77.8103666666667,-59.5653666666667,109.446666666667
80.4073333333333,-107.375333333333,112.991
78.2224333333333,-107.161,114.721666666667
83.0373666666667,-107.55,114.095666666667
79.1021333333333,-86.8013666666667,120.545666666667
63.7208,-116.09466666666701,152.190333333333
97.6078,-114.87100000000001,150.493666666667
60.3894666666667,-89.3523,149.310333333333
98.1052666666667,-88.1836,146.269333333333
82.4619,-148.499666666667,132.327666666667
79.414,-79.5674666666667,119.17166666666701
45.7156666666667,-111.97399999999999,103.265
115.53299999999999,-112.809333333333,100.516833333333
59.6793,-106.706,106.29666666666701
98.6441333333333,-106.65100000000001,107.564333333333
61.5091666666667,-113.413,99.72936666666669
104.202333333333,-114.489666666667,97.9736
62.279966666666695,-74.8245666666667,117.15066666666701
96.6640666666667,-76.4957666666667,119.00299999999999
58.2646666666667,-39.544000000000004,107.750333333333
95.4816,-43.1227,110.5035
67.6214333333333,-131.554,114.413
93.5467666666667,-133.102,116.769333333333
