AFID,Description,Mean AFRE lin,Mean AFRE nlin,lin vs nlin
01,AC,2.15±0.97 (4.96),0.36±0.21 (0.99),*
02,PC,1.83±0.96 (4.58),0.57±0.29 (1.64),*
03,infracollicular sulcus,2.20±1.23 (5.71),0.93±0.53 (2.11),*
04,PMJ,2.50±1.36 (6.06),0.68±0.43 (2.13),*
05,superior interpeduncular fossa,2.35±1.06 (4.75),0.76±0.37 (1.69),*
06,R superior LMS,2.07±0.95 (4.32),1.17±0.74 (3.52),*
07,L superior LMS,2.03±0.85 (4.22),1.43±0.77 (2.88),*
08,R inferior LMS,2.45±1.37 (7.50),1.78±1.11 (5.41),*
09,L inferior LMS,2.54±1.26 (6.63),1.83±0.96 (3.99),*
10,culmen,4.50±2.93 (12.72),2.73±2.81 (10.12),*
11,intermammillary sulcus,2.81±1.62 (6.30),1.44±0.60 (2.73),*
12,R MB,2.72±1.67 (6.90),0.93±0.48 (1.90),*
13,L MB,2.84±1.70 (6.14),1.01±0.62 (2.93),*
14,pineal gland,2.53±1.39 (5.70),2.01±1.24 (6.16),
15,R LV at AC,4.44±1.84 (7.90),2.70±1.59 (7.85),*
16,L LV at AC,4.50±1.95 (8.40),2.11±1.72 (7.92),*
17,R LV at PC,4.81±2.54 (10.07),2.96±2.42 (9.46),*
18,L LV at PC,4.80±2.64 (10.34),3.01±2.22 (8.13),*
19,genu of CC,3.73±1.82 (7.88),1.56±0.76 (3.32),*
20,splenium,2.96±1.88 (7.57),0.97±0.60 (2.93),*
21,R AL temporal horn,3.79±1.71 (7.50),1.70±1.09 (5.23),*
22,L AL temporal horn,3.62±1.45 (6.98),1.67±0.98 (4.31),*
23,R superior AM temporal horn,3.34±1.63 (7.25),1.93±1.34 (6.85),*
24,L superior AM temporal horn,3.44±1.80 (8.20),1.67±1.25 (5.80),*
25,R inferior AM temporal horn,4.02±1.97 (8.32),2.41±1.16 (5.61),*
26,L inferior AM temporal horn,4.13±1.70 (8.20),2.21±1.09 (4.84),*
27,R indusium griseum origin,3.36±2.07 (8.46),2.06±1.49 (6.40),*
28,L indusium griseum origin,3.60±1.68 (8.83),2.05±1.37 (5.00),*
29,R ventral occipital horn,5.86±6.32 (36.26),3.44±5.77 (32.78),*
30,L ventral occipital horn,6.99±6.72 (33.74),4.51±6.28 (29.76),*
31,R olfactory sulcal fundus,2.83±1.36 (7.50),1.37±0.95 (3.44),*
32,L olfactory sulcal fundus,2.94±1.28 (6.49),1.57±0.84 (3.41),*
